Algunos B-Claim
a I-Premise
-2,4 I-Premise
% I-Premise
; I-Premise
P I-Premise
= I-Premise
0,11 I-Premise
) I-Premise
; I-Premise
puntuación I-Premise
general I-Premise
de I-Premise
CdV I-Premise
( I-Premise
+0,1 I-Premise
% I-Premise
frente I-Premise
a I-Premise
-3,5 I-Premise
% I-Premise
; I-Premise
P I-Premise
= I-Premise
0,0001 I-Premise
) I-Premise
. I-Premise

Los O
resultados O
prospectivos O
incluyeron O
los O
síntomas O
notificados O
por O
los O
pacientes O
y O
la O
calidad O
de O
vida O
evaluada O
con O
cuestionarios O
desde O
el O
inicio O
hasta O
4 O
años O
después O
de O
la O
aleatorización O
. O

Se O
evaluaron O
por O
separado O
la O
duración O
de O
la O
supervivencia, O
la O
supervivencia O
sin O
enfermedad, O
la O
calidad O
de O
vida O
y O
los O
costes. O

Se O
inscribieron O
pacientes O
de O
14 O
a O
70 O
años O
de O
edad O
con O
GBM O
recién O
diagnosticado O
y O
con O
una O
puntuación O
de O
la O
Escala O
de O
Rendimiento O
de O
Karnofsky O
( O
KPS O
) O
> O
70 O
que O
estaban O
recibiendo O
tratamiento O
inicial O
y O
fueron O
asignados O
al O
azar O
en O
2 O
grupos O
durante O
el O
período O
de O
estudio O
de O
5 O
años O
. O

Por B-Claim
lo I-Claim
tanto, I-Claim
la I-Claim
radioterapia I-Claim
de I-Claim
fracción I-Claim
única I-Claim
debe I-Claim
considerarse I-Claim
el I-Claim
tratamiento I-Claim
paliativo I-Claim
de I-Claim
elección I-Claim
para I-Claim
los I-Claim
pacientes I-Claim
con I-Claim
cáncer I-Claim
con I-Claim
metástasis I-Claim
óseas I-Claim
dolorosas. I-Claim

Se O
realizaron O
sesiones O
de O
ejercicios O
de O
Pilates O
tres O
veces O
por O
semana O
durante O
un O
período O
de O
ocho O
semanas O
en O
la O
unidad O
de O
rehabilitación O
. O

Se O
realizaron O
evaluaciones O
mensuales O
de O
la O
fatiga O
entre O
T2 O
y O
T3. O

Al B-Premise
finalizar I-Premise
el I-Premise
PMP I-Premise
, I-Premise
las I-Premise
puntuaciones I-Premise
de I-Premise
dolor I-Premise
se I-Premise
redujeron I-Premise
significativamente I-Premise
en I-Premise
ambos I-Premise
grupos I-Premise
, I-Premise
sin O
embargo, O
los O
pacientes O
del O
grupo O
experimental O
mostraron O
un O
aumento O
significativo O
en O
el O
uso O
de O
analgésicos O
PRN O
y O
de O
estrategias O
no O
farmacológicas O
para O
aliviar O
el O
dolor O
( O
P O
<0,05 O
) O
y O
redujeron O
significativamente O
las O
barreras O
para O
el O
manejo O
de O
su O
dolor O
por O
cáncer O
( O
P O
<0,05 O
) O
en O
comparación O
con O
el O
grupo O
de O
control O
. O

Los O
síntomas O
locales O
se O
puntuaron O
en O
una O
escala O
categórica O
de O
cinco O
puntos O
evaluada O
por O
el O
médico O
y O
se O
sumaron O
para O
obtener O
una O
puntuación O
total O
de O
los O
síntomas O
(TSS). O

También O
se O
reclutó O
una O
cohorte O
no O
aleatoria, O
para O
completar O
un O
estudio O
de O
cohortes O
exhaustivo. O

El O
objetivo O
primario O
era O
comparar O
las O
tasas O
de O
respuesta O
completa O
(RC). O

En B-Premise
la I-Premise
evaluación I-Premise
de I-Premise
seguimiento I-Premise
a I-Premise
los I-Premise
2 I-Premise
meses, I-Premise
las I-Premise
mejoras I-Premise
observadas I-Premise
en I-Premise
el I-Premise
grupo I-Premise
IMCP I-Premise
ya I-Premise
no I-Premise
eran I-Premise
significativamente I-Premise
mayores I-Premise
que I-Premise
las I-Premise
observadas I-Premise
en I-Premise
el I-Premise
grupo I-Premise
TM. I-Premise

Dos B-Premise
pacientes I-Premise
, I-Premise
1 I-Premise
en I-Premise
cada I-Premise
brazo I-Premise
, I-Premise
seguían I-Premise
en I-Premise
remisión I-Premise
completa I-Premise
en I-Premise
el I-Premise
momento I-Premise
del I-Premise
último I-Premise
seguimiento I-Premise
, I-Premise
a I-Premise
los I-Premise
45+ I-Premise
y I-Premise
38+ I-Premise
meses I-Premise
del I-Premise
tratamiento I-Premise
. I-Premise

La B-Premise
neutropenia I-Premise
de I-Premise
grado I-Premise
3 I-Premise
ó I-Premise
4 I-Premise
de I-Premise
la I-Premise
OMS I-Premise
y I-Premise
la I-Premise
diarrea I-Premise
afectaron I-Premise
al I-Premise
46% I-Premise
y I-Premise
al I-Premise
16% I-Premise
, I-Premise
respectivamente, I-Premise
de I-Premise
los I-Premise
pacientes I-Premise
tratados I-Premise
con I-Premise
CPT-11 I-Premise
+ I-Premise
LFA I-Premise
5-FU I-Premise
. I-Premise

el O
día O
1 O
, O
seguido O
el O
día O
2 O
por O
LFA O
, O
250 O
mg/m2 O
i.v O
. O

En B-Premise
una I-Premise
mediana I-Premise
de I-Premise
seguimiento I-Premise
de I-Premise
6,6 I-Premise
años, I-Premise
los I-Premise
resultados I-Premise
de I-Premise
Sx I-Premise
+ I-Premise
Ax I-Premise
y I-Premise
Sx I-Premise
arrojaron I-Premise
una I-Premise
SSE I-Premise
similar I-Premise
( I-Premise
SSE I-Premise
a I-Premise
6 I-Premise
años I-Premise
, I-Premise
67 I-Premise
% I-Premise
frente I-Premise
a I-Premise
66 I-Premise
% I-Premise
; I-Premise
hazard I-Premise
ratio I-Premise
[ I-Premise
HR I-Premise
] I-Premise
Sx I-Premise
+ I-Premise
Ax/Sx I-Premise
, I-Premise
1,06 I-Premise
; I-Premise
95 I-Premise
% I-Premise
CI I-Premise
, I-Premise
0,79 I-Premise
a I-Premise
1,42 I-Premise
; I-Premise
P I-Premise
= I-Premise
.69 I-Premise
) I-Premise
y I-Premise
una I-Premise
SG I-Premise
( I-Premise
SSE I-Premise
a I-Premise
6 I-Premise
años I-Premise
, I-Premise
75 I-Premise
% I-Premise
frente I-Premise
a I-Premise
73 I-Premise
% I-Premise
; I-Premise
HR I-Premise
Sx I-Premise
+ I-Premise
Ax/Sx I-Premise
, I-Premise
1,05 I-Premise
; I-Premise
95 I-Premise
% I-Premise
CI I-Premise
, I-Premise
0,76 I-Premise
a I-Premise
1,46 I-Premise
; I-Premise
P I-Premise
= I-Premise
.77 I-Premise
) I-Premise
. I-Premise

Estudiar O
los O
efectos O
de O
la O
quimioterapia O
combinada O
con O
Fuzheng O
Jianpi O
( O
FJD O
) O
sobre O
la O
calidad O
de O
vida O
( O
QOL O
) O
y O
el O
tiempo O
de O
supervivencia O
de O
los O
niños O
con O
tumor O
sólido O
. O

En B-Premise
cuanto I-Premise
a I-Premise
la I-Premise
calidad I-Premise
de I-Premise
vida I-Premise
a I-Premise
largo I-Premise
plazo, I-Premise
no I-Premise
hubo I-Premise
diferencias I-Premise
significativas I-Premise
entre I-Premise
los I-Premise
dos I-Premise
grupos. I-Premise

La B-Premise
mediana I-Premise
de I-Premise
supervivencia I-Premise
fue I-Premise
de I-Premise
16,6 I-Premise
meses I-Premise
para I-Premise
el I-Premise
grupo I-Premise
de I-Premise
FU/LV/bevacizumab I-Premise
y I-Premise
de I-Premise
12,9 I-Premise
meses I-Premise
para I-Premise
el I-Premise
grupo I-Premise
de I-Premise
FU/LV/placebo I-Premise
( I-Premise
hazard I-Premise
ratio I-Premise
, I-Premise
0,79 I-Premise
; I-Premise
P I-Premise
= I-Premise
.16 I-Premise
) I-Premise
. I-Premise

Los O
pacientes O
fueron O
aleatorizados O
para O
recibir O
ABABAB O
( O
quimioterapia O
alternante O
temprana O
) O
o O
AAABBB O
( O
quimioterapia O
alternante O
tardía O
) O
. O

La B-Claim
magnitud I-Claim
de I-Claim
la I-Claim
mejora I-Claim
obtenida I-Claim
fue I-Claim
similar I-Claim
tanto I-Claim
si I-Claim
se I-Claim
trataba I-Claim
de I-Claim
un I-Claim
"tratamiento" I-Claim
autodeclarado I-Claim
como I-Claim
de I-Claim
uno I-Claim
proporcionado I-Claim
por I-Claim
un I-Claim
actor. I-Claim

Setenta O
pacientes O
completaron O
el O
período O
de O
4 O
semanas O
de O
estudio. O

Entre O
febrero O
de O
1999 O
y O
agosto O
de O
2001, O
se O
asignaron O
aleatoriamente O
422 O
pacientes O
( O
GCa O
, O
n O
= O
212 O
; O
MIC O
, O
n O
= O
210 O
) O
en O
el O
Reino O
Unido O
. O

Un B-Premise
modelo I-Premise
que I-Premise
midió I-Premise
la I-Premise
eficacia I-Premise
del I-Premise
CCSP I-Premise
en I-Premise
la I-Premise
CdV I-Premise
( I-Premise
total I-Premise
y I-Premise
subescala I-Premise
) I-Premise
en I-Premise
el I-Premise
seguimiento I-Premise
de I-Premise
1 I-Premise
año I-Premise
mostró I-Premise
que I-Premise
el I-Premise
grupo I-Premise
CCSP I-Premise
( I-Premise
n I-Premise
= I-Premise
38 I-Premise
) I-Premise
tuvo I-Premise
una I-Premise
mejora I-Premise
significativa I-Premise
en I-Premise
la I-Premise
CdV I-Premise
general I-Premise
( I-Premise
p I-Premise
< I-Premise
0,01 I-Premise
) I-Premise
, I-Premise
la I-Premise
salud I-Premise
y I-Premise
el I-Premise
funcionamiento I-Premise
( I-Premise
p I-Premise
< I-Premise
0,05 I-Premise
) I-Premise
, I-Premise
y I-Premise
el I-Premise
bienestar I-Premise
socioeconómico I-Premise
( I-Premise
p I-Premise
< I-Premise
0,05 I-Premise
) I-Premise
y I-Premise
psicológico/espiritual I-Premise
( I-Premise
p I-Premise
< I-Premise
0,01 I-Premise
) I-Premise
en I-Premise
comparación I-Premise
con I-Premise
el I-Premise
grupo I-Premise
de I-Premise
control I-Premise
( I-Premise
n I-Premise
= I-Premise
35 I-Premise
) I-Premise
. I-Premise

Las B-Premise
puntuaciones I-Premise
SF-36 I-Premise
MCS I-Premise
y I-Premise
PCS I-Premise
, I-Premise
Health I-Premise
Utilities I-Premise
Index I-Premise
Mark I-Premise
3 I-Premise
, I-Premise
EuroQol I-Premise
5D I-Premise
, I-Premise
y I-Premise
UDI I-Premise
mejoraron I-Premise
significativamente I-Premise
en I-Premise
ambos I-Premise
grupos I-Premise
a I-Premise
los I-Premise
6 I-Premise
meses I-Premise
y I-Premise
posteriormente I-Premise
( I-Premise
P I-Premise
< I-Premise
.05 I-Premise
) I-Premise
. I-Premise

Se B-Premise
observó I-Premise
una I-Premise
buena I-Premise
puntuación I-Premise
de I-Premise
calidad I-Premise
de I-Premise
vida I-Premise
al I-Premise
mes I-Premise
( I-Premise
19,5% I-Premise
frente I-Premise
al I-Premise
49% I-Premise
) I-Premise
y I-Premise
a I-Premise
los I-Premise
dos I-Premise
meses I-Premise
( I-Premise
47% I-Premise
frente I-Premise
al I-Premise
72% I-Premise
) I-Premise
, I-Premise
respectivamente I-Premise
( I-Premise
P I-Premise
< I-Premise
0,05 I-Premise
) I-Premise
. I-Premise

En B-Premise
la I-Premise
semana I-Premise
12, I-Premise
los I-Premise
cambios I-Premise
en I-Premise
el I-Premise
VPT I-Premise
de I-Premise
degarelix I-Premise
y I-Premise
goserelina I-Premise
fueron I-Premise
similares I-Premise
( I-Premise
-37,2 I-Premise
% I-Premise
frente I-Premise
a I-Premise
-39,0 I-Premise
% I-Premise
) I-Premise
y I-Premise
cumplieron I-Premise
el I-Premise
criterio I-Premise
de I-Premise
no I-Premise
inferioridad I-Premise
predefinido. I-Premise

El B-Claim
tratamiento I-Claim
con I-Claim
MEV I-Claim
fue I-Claim
bien I-Claim
tolerado I-Claim
y I-Claim
demostró I-Claim
actividad I-Claim
clínica I-Claim
en I-Claim
pacientes I-Claim
con I-Claim
CPRC I-Claim
. I-Claim

Desde B-Claim
el I-Claim
punto I-Claim
de I-Claim
vista I-Claim
clínico, I-Claim
la I-Claim
OHB I-Claim
parece I-Claim
ser I-Claim
un I-Claim
complemento I-Claim
útil I-Claim
para I-Claim
el I-Claim
tratamiento I-Claim
de I-Claim
la I-Claim
ONM, I-Claim
sobre I-Claim
todo I-Claim
en I-Claim
los I-Claim
casos I-Claim
más I-Claim
graves, I-Claim
aunque I-Claim
este I-Claim
estudio I-Claim
no I-Claim
tenía I-Claim
la I-Claim
potencia I-Claim
suficiente I-Claim
para I-Claim
respaldar I-Claim
plenamente I-Claim
esta I-Claim
afirmación. I-Claim

En B-Claim
el I-Claim
estudio I-Claim
V325 I-Claim
, I-Claim
los I-Claim
pacientes I-Claim
con I-Claim
cáncer I-Claim
gástrico I-Claim
o I-Claim
de I-Claim
la I-Claim
unión I-Claim
gastroesofágica I-Claim
avanzado I-Claim
que I-Claim
recibieron I-Claim
DCF I-Claim
no I-Claim
sólo I-Claim
mejoraron I-Claim
estadísticamente I-Claim
la I-Claim
supervivencia I-Claim
global I-Claim
y I-Claim
el I-Claim
tiempo I-Claim
hasta I-Claim
la I-Claim
progresión I-Claim
del I-Claim
tumor, I-Claim
sino I-Claim
que I-Claim
también I-Claim
conservaron I-Claim
mejor I-Claim
la I-Claim
CdV I-Claim
en I-Claim
comparación I-Claim
con I-Claim
los I-Claim
pacientes I-Claim
que I-Claim
recibieron I-Claim
CF. I-Claim

Tras B-Claim
la I-Claim
validación I-Claim
de I-Claim
nuestros I-Claim
datos I-Claim
en I-Claim
un I-Claim
grupo I-Claim
más I-Claim
amplio, I-Claim
la I-Claim
determinación I-Claim
de I-Claim
la I-Claim
ST I-Claim
puede I-Claim
tener I-Claim
el I-Claim
potencial I-Claim
de I-Claim
ayudar I-Claim
a I-Claim
dirigir I-Claim
mejor I-Claim
el I-Claim
tratamiento I-Claim
sistémico I-Claim
en I-Claim
pacientes I-Claim
con I-Claim
CCRm I-Claim
principalmente I-Claim
no I-Claim
resecable. I-Claim

Aunque B-Claim
la I-Claim
capacidad I-Claim
de I-Claim
la I-Claim
terapia I-Claim
de I-Claim
la I-Claim
dignidad I-Claim
para I-Claim
mitigar I-Claim
la I-Claim
angustia I-Claim
absoluta I-Claim
, I-Claim
como I-Claim
la I-Claim
depresión I-Claim
, I-Claim
el I-Claim
deseo I-Claim
de I-Claim
muerte I-Claim
o I-Claim
el I-Claim
suicidio I-Claim
, I-Claim
aún I-Claim
no I-Claim
se I-Claim
ha I-Claim
demostrado I-Claim
, I-Claim
sus B-Claim
beneficios I-Claim
en I-Claim
términos I-Claim
de I-Claim
experiencias I-Claim
autoinformadas I-Claim
del I-Claim
final I-Claim
de I-Claim
la I-Claim
vida I-Claim
apoyan I-Claim
su I-Claim
aplicación I-Claim
clínica I-Claim
para I-Claim
los I-Claim
pacientes I-Claim
cercanos I-Claim
a I-Claim
la I-Claim
muerte I-Claim
. I-Claim

Durante B-Claim
el I-Claim
TR, I-Claim
las I-Claim
intervenciones I-Claim
nutricionales I-Claim
influyeron I-Claim
positivamente I-Claim
en I-Claim
los I-Claim
resultados, I-Claim
y I-Claim
el I-Claim
asesoramiento I-Claim
tuvo I-Claim
un I-Claim
beneficio I-Claim
similar/superior; I-Claim
a I-Claim
medio I-Claim
plazo, I-Claim
sólo I-Claim
el I-Claim
asesoramiento I-Claim
ejerció I-Claim
un I-Claim
impacto I-Claim
significativo I-Claim
en I-Claim
los I-Claim
resultados I-Claim
de I-Claim
los I-Claim
pacientes. I-Claim

El B-Claim
tratamiento I-Claim
con I-Claim
marimastat I-Claim
después I-Claim
de I-Claim
la I-Claim
terapia I-Claim
de I-Claim
inducción I-Claim
para I-Claim
el I-Claim
CPCP I-Claim
no I-Claim
dio I-Claim
lugar I-Claim
a I-Claim
una I-Claim
mejora I-Claim
de I-Claim
la I-Claim
supervivencia I-Claim
y I-Claim
tuvo I-Claim
un I-Claim
impacto I-Claim
negativo I-Claim
en I-Claim
la I-Claim
calidad I-Claim
de I-Claim
vida I-Claim
. I-Claim

Sin O
embargo, O
en B-Claim
este I-Claim
grupo I-Claim
de I-Claim
pacientes I-Claim
tratados I-Claim
con I-Claim
radioterapia I-Claim
convencional, I-Claim
la I-Claim
pastilla I-Claim
no I-Claim
tuvo I-Claim
un I-Claim
impacto I-Claim
significativo I-Claim
en I-Claim
la I-Claim
gravedad I-Claim
de I-Claim
la I-Claim
mucositis. I-Claim

El B-Claim
GEM I-Claim
no I-Claim
proporciona I-Claim
una I-Claim
ventaja I-Claim
en I-Claim
comparación I-Claim
con I-Claim
el I-Claim
PLD I-Claim
en I-Claim
términos I-Claim
de I-Claim
TTP I-Claim
en I-Claim
pacientes I-Claim
con I-Claim
cáncer I-Claim
de I-Claim
ovario I-Claim
que I-Claim
experimentan I-Claim
una I-Claim
recurrencia I-Claim
dentro I-Claim
de I-Claim
los I-Claim
12 I-Claim
meses I-Claim
posteriores I-Claim
al I-Claim
tratamiento I-Claim
primario, I-Claim
pero I-Claim
debería I-Claim
considerarse I-Claim
en I-Claim
el I-Claim
espectro I-Claim
de I-Claim
fármacos I-Claim
que I-Claim
posiblemente I-Claim
se I-Claim
utilicen I-Claim
en I-Claim
el I-Claim
entorno I-Claim
de I-Claim
rescate I-Claim
. I-Claim

Aunque B-Claim
la I-Claim
adición I-Claim
de I-Claim
la I-Claim
radioterapia I-Claim
al I-Claim
tratamiento I-Claim
endocrino I-Claim
aumentó I-Claim
significativamente I-Claim
algunos I-Claim
síntomas I-Claim
relacionados I-Claim
con I-Claim
el I-Claim
tratamiento, I-Claim
ninguno I-Claim
fue I-Claim
grave. I-Claim

La B-Claim
recaída I-Claim
tras I-Claim
completar I-Claim
el I-Claim
tratamiento I-Claim
adyuvante I-Claim
con I-Claim
tamoxifeno I-Claim
es I-Claim
una I-Claim
amenaza I-Claim
persistente I-Claim
para I-Claim
las I-Claim
mujeres I-Claim
con I-Claim
cáncer I-Claim
de I-Claim
mama I-Claim
hormonorespondiente I-Claim
. I-Claim

En B-Claim
los I-Claim
ensayos I-Claim
de I-Claim
terapia I-Claim
endocrina I-Claim
en I-Claim
cáncer I-Claim
de I-Claim
mama I-Claim
avanzado I-Claim
, I-Claim
las I-Claim
pacientes I-Claim
con I-Claim
respuesta I-Claim
( I-Claim
respuesta I-Claim
completa/respuesta I-Claim
parcial I-Claim
[ I-Claim
CR/PR I-Claim
] I-Claim
) I-Claim
y I-Claim
las I-Claim
pacientes I-Claim
con I-Claim
enfermedad I-Claim
estable I-Claim
durante I-Claim
al I-Claim
menos I-Claim
6 I-Claim
meses I-Claim
( I-Claim
SD I-Claim
( I-Claim
6m I-Claim
) I-Claim
) I-Claim
han I-Claim
mostrado I-Claim
una I-Claim
supervivencia I-Claim
similar I-Claim
y, I-Claim
por I-Claim
lo I-Claim
tanto, I-Claim
a I-Claim
menudo I-Claim
se I-Claim
definen I-Claim
como I-Claim
una I-Claim
población I-Claim
con I-Claim
beneficio I-Claim
clínico I-Claim
( I-Claim
pacientes I-Claim
con I-Claim
CR/PR I-Claim
o I-Claim
SD I-Claim
( I-Claim
6m I-Claim
) I-Claim
) I-Claim
. I-Claim

En B-Claim
el I-Claim
linfoma I-Claim
de I-Claim
bajo I-Claim
grado I-Claim
recurrente, I-Claim
la I-Claim
fludarabina I-Claim
mejora I-Claim
la I-Claim
SLP, I-Claim
la I-Claim
SLT I-Claim
y I-Claim
las I-Claim
puntuaciones I-Claim
de I-Claim
la I-Claim
función I-Claim
social I-Claim
en I-Claim
comparación I-Claim
con I-Claim
el I-Claim
CVP, I-Claim
pero I-Claim
no I-Claim
mejora I-Claim
la I-Claim
SG. I-Claim

Los B-Claim
dos I-Claim
regímenes I-Claim
de I-Claim
quimioterapia I-Claim
mostraron I-Claim
una I-Claim
eficacia I-Claim
similar I-Claim
en I-Claim
la I-Claim
paliación I-Claim
de I-Claim
los I-Claim
síntomas I-Claim
cuando I-Claim
se I-Claim
evaluaron I-Claim
con I-Claim
el I-Claim
apéndice I-Claim
C30 I-Claim
del I-Claim
cuestionario I-Claim
EORTC I-Claim
QOL I-Claim
. I-Claim

Recientemente, B-Claim
el I-Claim
tratamiento I-Claim
